id,i_no,material_code,name,unit,i_qty,i_date,post_date,stor_loct,desc,bulan,no_unit,nama_unit,kelompok_unit,biaya_bbm
1,2024094755,61000043,MINYAK SOLAR,LTR,28,2024-09-30,2024-09-30,CPO RM S/L,U/ BBM-quik 03,2024-09-30,QT 03,Quick Tractor 03,Quick Tractor,316336.1279779031
2,2024094754,61000043,MINYAK SOLAR,LTR,29,2024-09-30,2024-09-30,CPO RM S/L,U/ BBM-quik 02,2024-09-30,QT 02,Quick Tractor 02,Quick Tractor,327633.8468342568
3,2024094753,61000043,MINYAK SOLAR,LTR,66,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM -BIN 03 KB 8340 VB Cant,2024-09-30,BIN 03,BIN System 03,BIN System,745649.444519343
4,2024094750,61000043,MINYAK SOLAR,LTR,77,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- EXCAVATOR 18 Tugang,2024-09-30,Exca 18,Excavator Mini 18,Excavator Mini,869924.3519392335
5,2024094736,61000043,MINYAK SOLAR,LTR,100,2024-09-30,2024-09-30,CPO RM S/L,U/BBM-WHEEL LOADER-01 PKS CAT,2024-09-30,WL 01,Wheel Loader 01,Wheel Loader,1129771.8856353683
6,2024094735,61000043,MINYAK SOLAR,LTR,65,2024-09-30,2024-09-30,CPO RM S/L,U/ BBM-Mobil Ambulance KB 8420,2024-09-30,KB 8420 VB,Mobil KB 8420 VB,Mobil,734351.7256629893
7,2024094734,61000043,MINYAK SOLAR,LTR,70,2024-09-30,2024-09-30,CPO RM S/L,U/ BBM-Mobil Hilux KB 8476 VB,2024-09-30,KB 8476 VB,Mobil KB 8476 VB,Mobil,790840.3199447577
8,2024094732,61000043,MINYAK SOLAR,LTR,54,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Genset 04 25 KVA ,2024-09-30,Genset 04,Genset 25 KVA Mess Melamor,Genset,610076.8182430988
9,2024094731,61000043,MINYAK SOLAR,LTR,70,2024-09-30,2024-09-30,CPO RM S/L,U/ BBM- GENSET 220 KVA KANTOR ,2024-09-30,Genset 29,Genset 220 KVA Tugang,Genset,790840.3199447577
10,2024094729,61000043,MINYAK SOLAR,LTR,104,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM GENSET 19 150 KVA ,2024-09-30,Genset 19,Genset 150 KVA Tugang,Genset,1174962.761060783
11,2024094728,61000043,MINYAK SOLAR,LTR,240,2024-09-30,2024-09-30,CPO RM S/L,U/ BBM-Genset 26 35 KVA,2024-09-30,Genset 26,Genset â€¦.. KVA ETG Div 3,Genset,2711452.5255248835
12,2024094726,61000043,MINYAK SOLAR,LTR,72,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Mobil Fortuner KB 1923,2024-09-30,KB 1923 VB,Mobil KB 1923 VB,Mobil,813435.7576574651
13,2024094725,61000043,MINYAK SOLAR,LTR,55,2024-09-30,2024-09-30,CPO RM S/L,U/ BBM-Fortuner kb 1582 VA,2024-09-30,KB 1582 VA,Mobil KB 1582 VA,Mobil,621374.5370994525
14,2024094724,61000043,MINYAK SOLAR,LTR,192,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM-Bulldozer 01 ,2024-09-30,BD 01,Buldozer 01,Bulldozer,2169162.020419907
15,2024094723,61000043,MINYAK SOLAR,LTR,88,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Motor Greader 03 CATER,2024-09-30,MG 03,Motor Greader 03,Motor Greader,994199.259359124
16,2024094722,61000043,MINYAK SOLAR,LTR,42,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- EXCAVATOR 22 305 5E2,2024-09-30,Exca 22,Excavator Mini 22,Excavator Mini,474504.1919668546
17,2024094721,61000043,MINYAK SOLAR,LTR,76,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM -DT 28 KB 8317 VB Mitsu,2024-09-30,DT 28,Dump Truck 28,Dump Truck,858626.6330828798
18,2024094720,61000043,MINYAK SOLAR,LTR,97,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- EXCAVATOR 17 Tugang,2024-09-30,Exca 17,Excavator 17,Excavator,1095878.7290663072
19,2024094719,61000043,MINYAK SOLAR,LTR,200,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Excavator  04 CATERPIL,2024-09-30,Exca 04,Excavator 04,Excavator,2259543.7712707366
20,2024094718,61000043,MINYAK SOLAR,LTR,100,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Compactor  02 CATERPIL,2024-09-30,CP 02,Compactor 02,Compactor,1129771.8856353683
21,2024094717,61000043,MINYAK SOLAR,LTR,200,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Excavator 05 CATERPILL,2024-09-30,Exca 05,Excavator 05,Excavator,2259543.7712707366
22,2024094716,61000043,MINYAK SOLAR,LTR,150,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Motor Greader 04 CATER,2024-09-30,MG 04,Motor Greader 04,Motor Greader,1694657.8284530523
23,2024094715,61000043,MINYAK SOLAR,LTR,170,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Motor Greader 06 CATER,2024-09-30,MG 06,Motor Greader 06,Motor Greader,1920612.205580126
24,2024094714,61000043,MINYAK SOLAR,LTR,55,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Tractor 07 Melamor III,2024-09-30,WT 07,Wheel Tractor 07,Wheel Tractor,621374.5370994525
25,2024094713,61000043,MINYAK SOLAR,LTR,60,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Tractor 21 Melamor III,2024-09-30,WT 21,Wheel Tractor 21,Wheel Tractor,677863.1313812209
26,2024094712,61000043,MINYAK SOLAR,LTR,62,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- GENSET 21 MELAMOR III,2024-09-30,Genset 21,Genset 10 KVA Div 2b Timur,Genset,700458.5690939283
27,2024094711,61000043,MINYAK SOLAR,LTR,84,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM -DT 26 KB 209 XY Mitsub,2024-09-30,DT 26,Dump Truck 26,Dump Truck,949008.3839337092
28,2024094710,61000043,MINYAK SOLAR,LTR,70,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Backhoe Loader 06 JCB,2024-09-30,BL 06,Backho Loader 06,Backho Loader,790840.3199447577
29,2024094709,61000043,MINYAK SOLAR,LTR,116,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- KIOTI 25 Tugang I,2024-09-30,WT 25,Wheel Tractor 25,Wheel Tractor,1310535.3873370271
30,2024094708,61000043,MINYAK SOLAR,LTR,77,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- DT 13 KB 8445 VA HINO ,2024-09-30,DT 13,Dump Truck 13,Dump Truck,869924.3519392335
31,2024094707,61000043,MINYAK SOLAR,LTR,20,2024-09-30,2024-09-30,CPO RM S/L,U/ BBM- GST 23 3KVA DIV I TUGA,2024-09-30,Genset 23,Genset 3 KVA Barak F10 Div 1 Barat,Genset,225954.37712707365
32,2024094706,61000043,MINYAK SOLAR,LTR,180,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Excavator 06 CATERPILL,2024-09-30,Exca 06,Excavator 06,Excavator,2033589.3941436624
33,2024094705,61000043,MINYAK SOLAR,LTR,165,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- EXCAVATOR 11 CAT 313,2024-09-30,Exca 11 PT. PAM,Excavator Mini 11 PT. PAM,Excavator Mini,1864123.6112983576
34,2024094704,61000043,MINYAK SOLAR,LTR,165,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- EXCAVATOR 15 305 5E2,2024-09-30,Exca 15,Excavator Mini 15,Excavator Mini,1864123.6112983576
35,2024094703,61000043,MINYAK SOLAR,LTR,55,2024-09-30,2024-09-30,CPO RM S/L,u/ BBM- Mobil KB 8892 VA,2024-09-30,KB 8892 VA,Mobil KB 8892 VA,Mobil,621374.5370994525
36,2024094229,61000043,MINYAK SOLAR,LTR,30,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- Mobil Hilux G-30,2024-09-30,KB 8477 VB,Mobil KB 8477 VB,Mobil,338931.56569061044
37,2024094228,61000043,MINYAK SOLAR,LTR,70,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM - BIS KB 7015 V SEKOLAH,2024-09-30,KB 7015 V,Mobil KB 7015 V,Mobil,790840.3199447577
38,2024094227,61000043,MINYAK SOLAR,LTR,55,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- Mobil  KB 8418 VA Hilu,2024-09-30,KB 8418 VA,Mobil KB 8418 VA,Mobil,621374.5370994525
39,2024094226,61000043,MINYAK SOLAR,LTR,44,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM -DT 31 KB 8316 VB Mitsu,2024-09-30,DT 31,Dump Truck 31,Dump Truck,497099.629679562
40,2024094225,61000043,MINYAK SOLAR,LTR,58,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM -DT 30  KB 8314 VB Mits,2024-09-30,DT 30,Dump Truck 30,Dump Truck,655267.6936685136
41,2024094224,61000043,MINYAK SOLAR,LTR,79,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- DT 16 KB 8663 VA HINO,2024-09-30,DT 16,Dump Truck 16,Dump Truck,892519.7896519409
42,2024094223,61000043,MINYAK SOLAR,LTR,80,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- DT 20 KB 8048 VB Cante,2024-09-30,DT 20,Dump Truck 20,Dump Truck,903817.5085082946
43,2024094222,61000043,MINYAK SOLAR,LTR,35,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM -DT 43 KB 8415 VB Mitsu,2024-09-30,DT 43,Dump Truck 43,Dump Truck,395420.15997237887
44,2024094221,61000043,MINYAK SOLAR,LTR,200,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM-Bulldozer 04,2024-09-30,BD 04,Buldozer 04,Bulldozer,2259543.7712707366
45,2024094220,61000043,MINYAK SOLAR,LTR,60,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- Compactor 04 SAKAI ,2024-09-30,CP 04,Compactor 04,Compactor,677863.1313812209
46,2024094219,61000043,MINYAK SOLAR,LTR,120,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- EXCAVATOR 24 CAT 323,2024-09-30,Exca 24,Excavator 24,Excavator,1355726.2627624418
47,2024094218,61000043,MINYAK SOLAR,LTR,80,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- Compactor  02 CATERPIL,2024-09-30,CP 02,Compactor 02,Compactor,903817.5085082946
48,2024094217,61000043,MINYAK SOLAR,LTR,150,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- Motor Greader 04 CATER,2024-09-30,MG 04,Motor Greader 04,Motor Greader,1694657.8284530523
49,2024094216,61000043,MINYAK SOLAR,LTR,66,2024-09-28,2024-09-28,CPO RM S/L,U/ BBM-Mobil Hilux KB 8625 VB,2024-09-30,KB 8625 VB,Mobil KB 8625 VB,Mobil,745649.444519343
50,2024094215,61000043,MINYAK SOLAR,LTR,82,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM -DT 24 KB 8310 VB Mitsu,2024-09-30,DT 24,Dump Truck 24,Dump Truck,926412.946221002
51,2024094214,61000043,MINYAK SOLAR,LTR,240,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- Tractor 16 Tugang III,2024-09-30,WT 16,Wheel Tractor 16,Wheel Tractor,2711452.5255248835
52,2024094213,61000043,MINYAK SOLAR,LTR,50,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- Mobil KB 8417 VA Hilux,2024-09-30,KB 8417 VA,Mobil KB 8417 VA,Mobil,564885.9428176841
53,2024094212,61000043,MINYAK SOLAR,LTR,182,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- Tractor 15 Tugang III,2024-09-30,WT 15,Wheel Tractor 15,Wheel Tractor,2056184.8318563704
54,2024094211,61000043,MINYAK SOLAR,LTR,77,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- Backhoe Loader 05 JCB,2024-09-30,BL 05,Backho Loader 05,Backho Loader,869924.3519392335
55,2024094210,61000043,MINYAK SOLAR,LTR,85,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM -DT 33 KB 8311 VB Mitsu,2024-09-30,DT 33,Dump Truck 33,Dump Truck,960306.102790063
56,2024094209,61000043,MINYAK SOLAR,LTR,45,2024-09-28,2024-09-28,CPO RM S/L,U/ BBM-Mobil KB 8638 VB,2024-09-30,KB 8638 VA,Mobil KB 8638 VA,Mobil,508397.34853591566
57,2024094208,61000043,MINYAK SOLAR,LTR,230,2024-09-28,2024-09-28,CPO RM S/L,U/ BBM- GENSET 220 KVA KANTOR ,2024-09-30,Genset 29,Genset 220 KVA Tugang,Genset,2598475.3369613467
58,2024094207,61000043,MINYAK SOLAR,LTR,104,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- Genset 04 25 KVA,2024-09-30,Genset 04,Genset 25 KVA Mess Melamor,Genset,1174962.761060783
59,2024094206,61000043,MINYAK SOLAR,LTR,200,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM GENSET 19 150 KVA,2024-09-30,Genset 19,Genset 150 KVA Tugang,Genset,2259543.7712707366
60,2024094205,61000043,MINYAK SOLAR,LTR,71,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM -DT 32 KB 8318 VB Mitsu,2024-09-30,DT 32,Dump Truck 32,Dump Truck,802138.0388011114
61,2024094204,61000043,MINYAK SOLAR,LTR,42,2024-09-28,2024-09-28,CPO RM S/L,u/ BBM- DT 08 KB 8439 VA HINO ,2024-09-30,DT 08,Dump Truck 08,Dump Truck,474504.1919668546
62,2024094203,61000043,MINYAK SOLAR,LTR,400,2024-09-28,2024-09-28,CPO RM S/L,Genset no 3 PKS(4950),2024-09-30,PKS,PKS,Lain - Lain,4519087.542541473
63,2024094202,61000043,MINYAK SOLAR,LTR,400,2024-09-28,2024-09-28,CPO RM S/L,Genset no 1 PKS(4950),2024-09-30,PKS,PKS,Lain - Lain,4519087.542541473
64,2024094201,61000043,MINYAK SOLAR,LTR,50,2024-09-27,2024-09-27,CPO RM S/L,U/ BBM-Mobil Hilux KB 8476 VB,2024-09-30,KB 8476 VB,Mobil KB 8476 VB,Mobil,564885.9428176841
65,2024094200,61000043,MINYAK SOLAR,LTR,77,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM -DT 31 KB 8316 VB Mitsu,2024-09-30,DT 31,Dump Truck 31,Dump Truck,869924.3519392335
66,2024094199,61000043,MINYAK SOLAR,LTR,31,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM -DT 40 KB 8410 VB Mitsu,2024-09-30,DT 40,Dump Truck 40,Dump Truck,350229.28454696416
67,2024094198,61000043,MINYAK SOLAR,LTR,44,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM -DT 37 KB 8411 VB Mitsu,2024-09-30,DT 37,Dump Truck 37,Dump Truck,497099.629679562
68,2024094197,61000043,MINYAK SOLAR,LTR,86,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- DT 22 KB 8049 VA Cante,2024-09-30,DT 22,Dump Truck 22,Dump Truck,971603.8216464168
69,2024094196,61000043,MINYAK SOLAR,LTR,44,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM -DT 39 KB 8372 VB Mitsu,2024-09-30,DT 39,Dump Truck 39,Dump Truck,497099.629679562
70,2024094195,61000043,MINYAK SOLAR,LTR,130,2024-09-27,2024-09-27,CPO RM S/L,U/ BBM- GENSET 220 KVA KANTOR ,2024-09-30,Genset 29,Genset 220 KVA Tugang,Genset,1468703.4513259786
71,2024094194,61000043,MINYAK SOLAR,LTR,80,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM GENSET 19 150 KVA ,2024-09-30,Genset 19,Genset 150 KVA Tugang,Genset,903817.5085082946
72,2024094193,61000043,MINYAK SOLAR,LTR,97,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- EXCAVATOR 17,2024-09-30,Exca 17,Excavator 17,Excavator,1095878.7290663072
73,2024094192,61000043,MINYAK SOLAR,LTR,54,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Genset 04 25 KVA ,2024-09-30,Genset 04,Genset 25 KVA Mess Melamor,Genset,610076.8182430988
74,2024094191,61000043,MINYAK SOLAR,LTR,79,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM -DT 36 KB 8409 VB Mitsu,2024-09-30,DT 36,Dump Truck 36,Dump Truck,892519.7896519409
75,2024094190,61000043,MINYAK SOLAR,LTR,62,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- DT 08 KB 8439 VA HINO,2024-09-30,DT 08,Dump Truck 08,Dump Truck,700458.5690939283
76,2024094189,61000043,MINYAK SOLAR,LTR,65,2024-09-27,2024-09-27,CPO RM S/L,U/ BBM-Mobil Hilux KB 8324 VA,2024-09-30,KB 8324 VB,Mobil KB 8324 VB,Mobil,734351.7256629893
77,2024094188,61000043,MINYAK SOLAR,LTR,50,2024-09-27,2024-09-27,CPO RM S/L,U/ BBM-Mobil Hilux KB 8419 VB,2024-09-30,KB 8419 VA,Mobil KB 8419 VA,Mobil,564885.9428176841
78,2024094187,61000043,MINYAK SOLAR,LTR,50,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Backhoe Loader 06 JCB,2024-09-30,BL 06,Backho Loader 06,Backho Loader,564885.9428176841
79,2024094186,61000043,MINYAK SOLAR,LTR,150,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Excavator 05 CATERPILL,2024-09-30,Exca 05,Excavator 05,Excavator,1694657.8284530523
80,2024094185,61000043,MINYAK SOLAR,LTR,100,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Compactor  02 CATERPIL,2024-09-30,CP 02,Compactor 02,Compactor,1129771.8856353683
81,2024094184,61000043,MINYAK SOLAR,LTR,220,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Excavator  04 CATERPIL,2024-09-30,Exca 04,Excavator 04,Excavator,2485498.14839781
82,2024094183,61000043,MINYAK SOLAR,LTR,160,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- EXCAVATOR 24 CAT 323,2024-09-30,Exca 24,Excavator 24,Excavator,1807635.0170165887
83,2024094182,61000043,MINYAK SOLAR,LTR,60,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Compactor 04 SAKAI ,2024-09-30,CP 04,Compactor 04,Compactor,677863.1313812209
84,2024094181,61000043,MINYAK SOLAR,LTR,150,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Motor Greader 06 CATER,2024-09-30,MG 06,Motor Greader 06,Motor Greader,1694657.8284530523
85,2024094180,61000043,MINYAK SOLAR,LTR,35,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Mobil KB 8890 VA Hilux,2024-09-30,KB 8890 VA,Mobil KB 8890 VA,Mobil,395420.15997237887
86,2024094179,61000043,MINYAK SOLAR,LTR,115,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Tractor 04 Melamor IV,2024-09-30,WT 04,Wheel Tractor 04,Wheel Tractor,1299237.668480673
87,2024094178,61000043,MINYAK SOLAR,LTR,54,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM -DT 25  KB 8312 VB Mits,2024-09-30,DT 25,Dump Truck 25,Dump Truck,610076.8182430988
88,2024094177,61000043,MINYAK SOLAR,LTR,160,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Tractor 12 Melamor IV,2024-09-30,WT 12,Wheel Tractor 12,Wheel Tractor,1807635.0170165887
89,2024094176,61000043,MINYAK SOLAR,LTR,65,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM-Mobil KB 8641 VA  Hilux,2024-09-30,KB 8641 VA,Mobil KB 8641 VA,Mobil,734351.7256629893
90,2024094175,61000043,MINYAK SOLAR,LTR,70,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- EXCAVATOR MINI 23 Tuga,2024-09-30,Exca 23,Excavator Mini 23,Excavator Mini,790840.3199447577
91,2024094174,61000043,MINYAK SOLAR,LTR,240,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Tractor 20 Tugang IV,2024-09-30,WT 20,Wheel Tractor 20,Wheel Tractor,2711452.5255248835
92,2024094173,61000043,MINYAK SOLAR,LTR,88,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Motor Greader 03 CATER,2024-09-30,MG 03,Motor Greader 03,Motor Greader,994199.259359124
93,2024094172,61000043,MINYAK SOLAR,LTR,60,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Tractor 10 Tugang I,2024-09-30,WT 10,Wheel Tractor 10,Wheel Tractor,677863.1313812209
94,2024094171,61000043,MINYAK SOLAR,LTR,64,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Tractor 10 Tugang I,2024-09-30,WT 10,Wheel Tractor 10,Wheel Tractor,723054.0068066356
95,2024094170,61000043,MINYAK SOLAR,LTR,151,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Genset 08 ,2024-09-30,Genset 08,Genset 25 KVA Div 1 Barat,Genset,1705955.547309406
96,2024094169,61000043,MINYAK SOLAR,LTR,56,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM -BIN 03 KB 8340 VB Cant,2024-09-30,BIN 03,BIN System 03,BIN System,632672.2559558062
97,2024094168,61000043,MINYAK SOLAR,LTR,150,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Motor Greader 05 KOMAT,2024-09-30,MG 05,Motor Greader 05,Motor Greader,1694657.8284530523
98,2024094166,61000043,MINYAK SOLAR,LTR,200,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Excavator 06 CATERPILL,2024-09-30,Exca 06,Excavator 06,Excavator,2259543.7712707366
99,2024094165,61000043,MINYAK SOLAR,LTR,77,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Tronton mini KB 8661 V,2024-09-30,DT 19,Dump Truck 19,Dump Truck,869924.3519392335
100,2024094164,61000043,MINYAK SOLAR,LTR,65,2024-09-27,2024-09-27,CPO RM S/L,U/ BBM-Mobil Hilux KB 8167 VB,2024-09-30,KB 8167 VB,Mobil KB 8167 VB,Mobil,734351.7256629893
101,2024094163,61000043,MINYAK SOLAR,LTR,180,2024-09-27,2024-09-27,CPO RM S/L,U/ BBM- GENSET 220 KVA KANTOR ,2024-09-30,Genset 29,Genset 220 KVA Tugang,Genset,2033589.3941436624
102,2024094162,61000043,MINYAK SOLAR,LTR,104,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM GENSET 19 150 KVA,2024-09-30,Genset 19,Genset 150 KVA Tugang,Genset,1174962.761060783
103,2024094161,61000043,MINYAK SOLAR,LTR,45,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Genset 04 25 KVA ,2024-09-30,Genset 04,Genset 25 KVA Mess Melamor,Genset,508397.34853591566
104,2024094160,61000043,MINYAK SOLAR,LTR,45,2024-09-27,2024-09-27,CPO RM S/L,U/ BBM-Fortuner kb 1582 VA,2024-09-30,KB 1582 VA,Mobil KB 1582 VA,Mobil,508397.34853591566
105,2024094159,61000043,MINYAK SOLAR,LTR,80,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- DT 11 KB 8442 VA HINO ,2024-09-30,DT 11,Dump Truck 11,Dump Truck,903817.5085082946
106,2024094158,61000043,MINYAK SOLAR,LTR,45,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Tractor 07 Melamor III,2024-09-30,WT 07,Wheel Tractor 07,Wheel Tractor,508397.34853591566
107,2024094157,61000043,MINYAK SOLAR,LTR,63,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM -DT 26 KB 209 XY Mitsub,2024-09-30,DT 26,Dump Truck 26,Dump Truck,711756.287950282
108,2024094156,61000043,MINYAK SOLAR,LTR,52,2024-09-27,2024-09-27,CPO RM S/L,u/ BBM- Tractor 21 Melamor III,2024-09-30,WT 21,Wheel Tractor 21,Wheel Tractor,587481.3805303915
109,2024094155,61000043,MINYAK SOLAR,LTR,100,2024-09-27,2024-09-27,CPO RM S/L,U/BBM-WHEEL LOADER-01 PKS CAT,2024-09-30,WL 01,Wheel Loader 01,Wheel Loader,1129771.8856353683
110,2024094154,61000043,MINYAK SOLAR,LTR,80,2024-09-27,2024-09-27,CPO RM S/L,U/BBM-BECKHOE LOADER 02 PKS CA,2024-09-30,BL 02,Backho Loader 02,Backho Loader,903817.5085082946
111,2024094153,61000043,MINYAK SOLAR,LTR,55,2024-09-26,2024-09-26,CPO RM S/L,u/ BBM- Mobil KB 8183 VA Hilux,2024-09-30,KB 8183 VB,Mobil KB 8183 VB,Mobil,621374.5370994525
112,2024094152,61000043,MINYAK SOLAR,LTR,38,2024-09-26,2024-09-26,CPO RM S/L,u/ BBM -DT 42 KB 8414 Mitsubis,2024-09-30,DT 42,Dump Truck 42,Dump Truck,429313.3165414399
113,2024094151,61000043,MINYAK SOLAR,LTR,44,2024-09-26,2024-09-26,CPO RM S/L,u/ BBM -DT 30  KB 8314 VB Mits,2024-09-30,DT 30,Dump Truck 30,Dump Truck,497099.629679562
114,2024094150,61000043,MINYAK SOLAR,LTR,240,2024-09-26,2024-09-26,CPO RM S/L,u/ BBM- Tractor 15 Tugang III,2024-09-30,WT 15,Wheel Tractor 15,Wheel Tractor,2711452.5255248835
115,2024094149,61000043,MINYAK SOLAR,LTR,192,2024-09-26,2024-09-26,CPO RM S/L,u/ BBM-Bulldozer 01 ,2024-09-30,BD 01,Buldozer 01,Bulldozer,2169162.020419907
116,2024094148,61000043,MINYAK SOLAR,LTR,77,2024-09-26,2024-09-26,CPO RM S/L,u/ BBM- Backhoe Loader 05 JCB,2024-09-30,BL 05,Backho Loader 05,Backho Loader,869924.3519392335
117,2024094147,61000043,MINYAK SOLAR,LTR,20,2024-09-26,2024-09-26,CPO RM S/L,u/ BBM-  Crawler 05,2024-09-30,CL 05,Crawler 05,Crawler,225954.37712707365
118,2024094146,61000043,MINYAK SOLAR,LTR,47,2024-09-26,2024-09-26,CPO RM S/L,u/ BBM- DT 20 KB 8048 VB Cante,2024-09-30,DT 20,Dump Truck 20,Dump Truck,530992.786248623
119,2024094145,61000043,MINYAK SOLAR,LTR,44,2024-09-26,2024-09-26,CPO RM S/L,u/ BBM- DT 15 KB 8660 VA HINO,2024-09-30,DT 15,Dump Truck 15,Dump Truck,497099.629679562
120,2024094144,61000043,MINYAK SOLAR,LTR,50,2024-09-26,2024-09-26,CPO RM S/L,u/ BBM -DT 33 KB 8311 VB Mitsu,2024-09-30,DT 33,Dump Truck 33,Dump Truck,564885.9428176841
121,2024094143,61000043,MINYAK SOLAR,LTR,25,2024-09-26,2024-09-26,CPO RM S/L,u/ BBM -DT 40 KB 8410 VB Mitsu,2024-09-30,DT 40,Dump Truck 40,Dump Truck,282442.9714088421
122,2024094142,61000043,MINYAK SOLAR,LTR,60,2024-09-26,2024-09-26,CPO RM S/L,u/ BBM- DT 18 KB 8664 VA HINO,2024-09-30,DT 18,Dump Truck 18,Dump Truck,677863.1313812209
123,2024094141,61000043,MINYAK SOLAR,LTR,57,2024-09-26,2024-09-26,CPO RM S/L,u/ BBM -DT 43 KB 8415 VB Mitsu,2024-09-30,DT 43,Dump Truck 43,Dump Truck,643969.9748121599
124,2024094140,61000043,MINYAK SOLAR,LTR,150,2024-09-26,2024-09-26,CPO RM S/L,u/ BBM- Motor Greader 04 CATER,2024-09-30,MG 04,Motor Greader 04,Motor Greader,1694657.8284530523
125,2024094139,61000043,MINYAK SOLAR,LTR,70,2024-09-26,2024-09-26,CPO RM S/L,u/ BBM- Compactor 04 SAKAI ,2024-09-30,CP 04,Compactor 04,Compactor,790840.3199447577
