74,Sedadung,6,263.03,33167,2019,Sedadung-6-2019,Sedadung_6
75,Sedadung,3,274.28426573426566,36912,2022,Sedadung-3-2022,Sedadung_3
76,Sedadung,5,243.68,32750,2022,Sedadung-5-2022,Sedadung_5
77,Tugang,4,203.01475524475524,27595,2022,Tugang-4-2022,Tugang_4
78,Sedadung,3,275.85426573426565,37158,2024,Sedadung-3-2024,Sedadung_3
79,Melamor,2,343.7267132867133,45502,2021,Melamor-2-2021,Melamor_2
80,Sedadung,2,264.27,35004,2023,Sedadung-2-2023,Sedadung_2
81,Melamor,1,88.30706293706292,11915,2021,Melamor-1-2021,Melamor_1
82,Mulau,5,236.5,30454,2021,Mulau-5-2021,Mulau_5
83,Mulau,5,236.5,30454,2019,Mulau-5-2019,Mulau_5
84,Tugang,2,322.67,42260,2024,Tugang-2-2024,Tugang_2
85,Tugang,4,229.13,31693,2024,Tugang-4-2024,Tugang_4
86,Sedadung,2,264.27,35004,2020,Sedadung-2-2020,Sedadung_2
87,Melamor,1,433.0558041958042,60723,2025,Melamor-1-2025,Melamor_1
88,Melamor,2,394.75000000000006,52773,2025,Melamor-2-2025,Melamor_2
89,Melamor,3,312.4300000000001,40907,2025,Melamor-3-2025,Melamor_3
90,Melamor,4,353.52,45992,2025,Melamor-4-2025,Melamor_4
91,Mulau,1,425.44,54641,2025,Mulau-1-2025,Mulau_1
92,Mulau,2,346.4800000000001,45378,2025,Mulau-2-2025,Mulau_2
93,Mulau,3,312.1099999999999,40944,2025,Mulau-3-2025,Mulau_3
94,Mulau,4,438.62,55325,2025,Mulau-4-2025,Mulau_4
95,Mulau,5,330.499095,43560,2025,Mulau-5-2025,Mulau_5
96,Sedadung,1,311.8,41884,2025,Sedadung-1-2025,Sedadung_1
97,Sedadung,2,291.04,38848,2025,Sedadung-2-2025,Sedadung_2
98,Sedadung,3,285.42999999999995,38669,2025,Sedadung-3-2025,Sedadung_3
99,Sedadung,4,283.54,34095,2025,Sedadung-4-2025,Sedadung_4
100,Sedadung,5,361.534851,48595,2025,Sedadung-5-2025,Sedadung_5
101,Sedadung,6,423.13065100000006,56392,2025,Sedadung-6-2025,Sedadung_6
102,Tugang,1,364.75,46722,2025,Tugang-1-2025,Tugang_1
103,Tugang,2,347.5667679999999,45560,2025,Tugang-2-2025,Tugang_2
104,Tugang,3,345.84000000000003,49702,2025,Tugang-3-2025,Tugang_3
105,Tugang,4,292.176136,40283,2025,Tugang-4-2025,Tugang_4
106,Tugang,5,234.01,30668,2025,Tugang-5-2025,Tugang_5
107,Tugang,2,309.9,40422,2023,Tugang-2-2023,Tugang_2
108,Mulau,5,236.5,30454,2024,Mulau-5-2024,Mulau_5
109,Mulau,5,236.5,30454,2022,Mulau-5-2022,Mulau_5
110,Sedadung,4,278.38,33117,2019,Sedadung-4-2019,Sedadung_4
111,Sedadung,3,274.28426573426566,36912,2021,Sedadung-3-2021,Sedadung_3
112,Mulau,3,290.6925174825175,37526,2023,Mulau-3-2023,Mulau_3
113,Tugang,4,203.01475524475524,27595,2021,Tugang-4-2021,Tugang_4
114,Sedadung,5,243.68,32750,2020,Sedadung-5-2020,Sedadung_5
115,Mulau,4,353.0,42365,2023,Mulau-4-2023,Mulau_4
116,Sedadung,6,263.03,33167,2021,Sedadung-6-2021,Sedadung_6
117,Tugang,1,355.69,45430,2023,Tugang-1-2023,Tugang_1
118,Sedadung,2,264.27,35004,2021,Sedadung-2-2021,Sedadung_2
119,Melamor,4,332.13,42640,2020,Melamor-4-2020,Melamor_4
120,Melamor,3,312.43,40907,2024,Melamor-3-2024,Melamor_3
121,Tugang,4,203.01475524475524,27595,2019,Tugang-4-2019,Tugang_4
122,Sedadung,2,264.27,35004,2022,Sedadung-2-2022,Sedadung_2
123,Tugang,5,216.39,27898,2020,Tugang-5-2020,Tugang_5
124,Tugang,3,290.68,40636,2021,Tugang-3-2021,Tugang_3
125,Mulau,3,290.6925174825175,37526,2020,Mulau-3-2020,Mulau_3
126,Sedadung,6,263.03,33167,2022,Sedadung-6-2022,Sedadung_6
127,Sedadung,4,278.38,33117,2024,Sedadung-4-2024,Sedadung_4
128,Mulau,1,356.0,46454,2022,Mulau-1-2022,Mulau_1
129,Tugang,1,355.69,45430,2019,Tugang-1-2019,Tugang_1
130,Melamor,3,279.6,36345,2023,Melamor-3-2023,Melamor_3
131,Tugang,5,229.32,30040,2024,Tugang-5-2024,Tugang_5
132,Melamor,1,316.30580419580417,42742,2023,Melamor-1-2023,Melamor_1
133,Melamor,4,335.49,43150,2023,Melamor-4-2023,Melamor_4
134,Melamor,3,273.88,35545,2020,Melamor-3-2020,Melamor_3
135,Tugang,3,307.2,43676,2024,Tugang-3-2024,Tugang_3
136,Sedadung,6,278.83,36020,2023,Sedadung-6-2023,Sedadung_6
137,Melamor,2,343.7267132867133,45502,2022,Melamor-2-2022,Melamor_2
138,Tugang,1,355.69,45430,2020,Tugang-1-2020,Tugang_1
139,Mulau,4,353.0,42365,2022,Mulau-4-2022,Mulau_4
140,Mulau,3,290.6925174825175,37526,2019,Mulau-3-2019,Mulau_3
