28,10,28,Sep,2024-09-20,9477.0,410,9067.0,2024-09-29,2024-09-25,2024-10-10,2024-09-21,2024-09-28,250000,GGU/STIM,Selesai,250370,250170,2268291390.0,,2024-09-30
29,11,29,Oct,2024-10-01,9504.0,160,9344.0,2024-10-08,2024-10-04,2024-10-15,2024-10-02,2024-10-11,100000,GGU/PSP,Selesai,101470,102540,958133760.0,,2024-10-31
30,13,30,Oct,2024-10-04,9576.0,410,9166.0,2024-10-11,2024-10-08,2024-10-20,2024-10-05,2024-10-11,250000,GGU/STIM,Selesai,250500,250320,2294433120.0,,2024-10-31
31,14,31,Oct,2024-10-14,9632.0,235,9397.0,2024-10-22,2024-10-18,2024-11-02,2024-10-16,2024-10-19,100000,GGU/BAP,Selesai,100210,99850,938290450.0,,2024-10-31
32,12,32,Oct,2024-10-15,9632.0,160,9472.0,2024-11-04,2024-10-18,2024-11-02,2024-10-16,2024-10-19,100000,GGU/PSP,Selesai,96430,96650,915468800.0,,2024-10-31
33,14,33,Oct,2024-10-21,9625.0,410,9215.0,2024-10-27,2024-10-23,2024-11-07,2024-10-22,2024-10-26,250000,GGU/STIM,Selesai,249880,248940,2293982100.0,,2024-10-31
34,13,34,Nov,2024-11-01,9889.0,160,9729.0,2024-11-18,2024-11-07,2024-11-18,2024-11-04,2024-11-08,100000,GGU/PSP,Selesai,100370,100370,976499730.0,,2024-11-30
35,15,35,Nov,2024-11-04,9950.0,410,9540.0,2024-11-15,2024-11-07,2024-11-18,2024-11-06,2024-11-13,200000,GGU/STIM,Selesai,200140,199940,1907427600.0,,2024-11-30
36,16,36,Nov,2024-11-05,9950.0,235,9715.0,2024-11-26,2024-11-08,2024-11-20,2024-11-11,2024-11-25,450000,GGU/BAP,Selesai,450890,450780,4379327700.0,,2024-11-30
37,14,37,Nov,2024-11-15,10150.0,160,9990.0,2024-12-13,2024-11-21,2024-12-05,2024-11-28,2024-12-10,150000,GGU/PSP,Selesai,150220,150800,1506492000.0,,2024-11-30
38,16,38,Nov,2024-11-20,10300.0,410,9890.0,2024-12-28,2024-11-22,2024-12-05,2024-11-30,2024-12-26,200000,GGU/STIM,Selesai,200050,200270,1980670300.0,,2024-11-30
39,18,41,Dec,2024-12-20,11346.0,410,10936.0,2025-01-10,2024-12-27,2025-01-10,2025-01-04,2025-01-08,250000,GGU/STIM,Selesai,247520,248490,2717486640.0,,2024-12-31
