51,Sedadung,2,291.04,38848,2025,Sedadung-2-2025,Sedadung_2,mar,Sedadung_2_mar_2025
52,Sedadung,3,285.42999999999995,38669,2025,Sedadung-3-2025,Sedadung_3,mar,Sedadung_3_mar_2025
53,Sedadung,4,283.54,34095,2025,Sedadung-4-2025,Sedadung_4,mar,Sedadung_4_mar_2025
54,Sedadung,5,361.534851,48595,2025,Sedadung-5-2025,Sedadung_5,mar,Sedadung_5_mar_2025
55,Sedadung,6,423.13065100000006,56392,2025,Sedadung-6-2025,Sedadung_6,mar,Sedadung_6_mar_2025
56,Tugang,1,364.75,46722,2025,Tugang-1-2025,Tugang_1,mar,Tugang_1_mar_2025
57,Tugang,2,347.5667679999999,45560,2025,Tugang-2-2025,Tugang_2,mar,Tugang_2_mar_2025
58,Tugang,3,345.84000000000003,49702,2025,Tugang-3-2025,Tugang_3,mar,Tugang_3_mar_2025
59,Tugang,4,292.176136,40283,2025,Tugang-4-2025,Tugang_4,mar,Tugang_4_mar_2025
60,Tugang,5,234.01,30668,2025,Tugang-5-2025,Tugang_5,mar,Tugang_5_mar_2025
61,Melamor,1,433.0558041958042,60723,2025,Melamor-1-2025,Melamor_1,apr,Melamor_1_apr_2025
62,Melamor,2,394.75000000000006,52773,2025,Melamor-2-2025,Melamor_2,apr,Melamor_2_apr_2025
63,Melamor,3,312.4300000000001,40907,2025,Melamor-3-2025,Melamor_3,apr,Melamor_3_apr_2025
64,Melamor,4,353.52,45992,2025,Melamor-4-2025,Melamor_4,apr,Melamor_4_apr_2025
65,Mulau,1,425.44,54641,2025,Mulau-1-2025,Mulau_1,apr,Mulau_1_apr_2025
66,Mulau,2,346.4800000000001,45378,2025,Mulau-2-2025,Mulau_2,apr,Mulau_2_apr_2025
67,Mulau,3,312.1099999999999,40944,2025,Mulau-3-2025,Mulau_3,apr,Mulau_3_apr_2025
68,Mulau,4,438.62,55325,2025,Mulau-4-2025,Mulau_4,apr,Mulau_4_apr_2025
69,Mulau,5,330.499095,43560,2025,Mulau-5-2025,Mulau_5,apr,Mulau_5_apr_2025
70,Sedadung,1,311.8,41884,2025,Sedadung-1-2025,Sedadung_1,apr,Sedadung_1_apr_2025
71,Sedadung,2,291.04,38848,2025,Sedadung-2-2025,Sedadung_2,apr,Sedadung_2_apr_2025
72,Sedadung,3,285.42999999999995,38669,2025,Sedadung-3-2025,Sedadung_3,apr,Sedadung_3_apr_2025
73,Sedadung,4,283.54,34095,2025,Sedadung-4-2025,Sedadung_4,apr,Sedadung_4_apr_2025
74,Sedadung,5,361.534851,48595,2025,Sedadung-5-2025,Sedadung_5,apr,Sedadung_5_apr_2025
75,Sedadung,6,423.13065100000006,56392,2025,Sedadung-6-2025,Sedadung_6,apr,Sedadung_6_apr_2025
76,Tugang,1,364.75,46722,2025,Tugang-1-2025,Tugang_1,apr,Tugang_1_apr_2025
77,Tugang,2,347.5667679999999,45560,2025,Tugang-2-2025,Tugang_2,apr,Tugang_2_apr_2025
78,Tugang,3,345.84000000000003,49702,2025,Tugang-3-2025,Tugang_3,apr,Tugang_3_apr_2025
79,Tugang,4,292.176136,40283,2025,Tugang-4-2025,Tugang_4,apr,Tugang_4_apr_2025
80,Tugang,5,234.01,30668,2025,Tugang-5-2025,Tugang_5,apr,Tugang_5_apr_2025
81,Melamor,1,433.0558041958042,60723,2025,Melamor-1-2025,Melamor_1,may,Melamor_1_may_2025
82,Melamor,2,394.75000000000006,52773,2025,Melamor-2-2025,Melamor_2,may,Melamor_2_may_2025
83,Melamor,3,312.4300000000001,40907,2025,Melamor-3-2025,Melamor_3,may,Melamor_3_may_2025
84,Melamor,4,353.52,45992,2025,Melamor-4-2025,Melamor_4,may,Melamor_4_may_2025
85,Mulau,1,425.44,54641,2025,Mulau-1-2025,Mulau_1,may,Mulau_1_may_2025
86,Mulau,2,346.4800000000001,45378,2025,Mulau-2-2025,Mulau_2,may,Mulau_2_may_2025
