id,tgl_rakit,tgl_pasang,bulan,tahun,no_po,ukuran,jumlah,satuan,lokasi,tahun_tanam,estate,divisi,status,status2,keterangan,periode,ukuran2,bln_name,x,y
404,2024-10-12,2024-11-19,November,2024,,Diameter 1 X 5 Mtr,1,Unit,H27,2009.0,Mulau,1,Plasma,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2024-12-31,1 X 5,Nov,111.127538,0.529672
405,2024-11-16,2024-11-22,November,2024,,Diameter 1 X 5 Mtr,1,Unit,H27,2009.0,Mulau,1,Plasma,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2024-12-31,1 X 5,Nov,111.125434,0.531132
406,2024-10-12,2024-11-23,November,2024,,Diameter 1 X 5 Mtr,1,Unit,H26,2009.0,Mulau,1,Plasma,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2024-12-31,1 X 5,Nov,111.128294,0.526555
407,2024-11-16,2024-11-23,November,2024,,Diameter 1 X 5 Mtr,1,Unit,H19,2009.0,Mulau,1,Plasma,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2024-12-31,1 X 5,Nov,111.127617,0.524997
408,2023-09-15,2023-09-25,September,2023,,Diameter 2 X 6 Mtr,1,Unit,H45,2013.0,Mulau,1,Plasma,Terpasang,Pembelian Tahap 1,2023-10-31,2 X 6,Sep,,
409,2024-10-14,2024-10-22,October,2024,,Diameter 1 X 5 Mtr,1,Unit,J04,2011.0,Mulau,4,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2024-11-30,1 X 5,Oct,,
410,2024-11-20,2024-11-23,November,2024,,Diameter 1 X 5 Mtr,1,Unit,I18,2010.0,Mulau,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2024-12-31,1 X 5,Nov,111.11359,0.55892
411,2024-11-20,2024-11-26,November,2024,,Diameter 1 X 5 Mtr,1,Unit,I02,2020.0,Mulau,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2024-12-31,1 X 5,Nov,111.12453,0.543252
412,2024-11-22,2024-11-23,November,2024,,Diameter 1 X 5 Mtr,1,Unit,I15,2011.0,Mulau,3,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2024-12-31,1 X 5,Nov,111.124235,0.565575
413,2024-11-23,2024-11-15,November,2024,,Diameter 1 X 5 Mtr,1,Unit,J01,2011.0,Mulau,4,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2024-12-31,1 X 5,Nov,111.138385,0.560812
414,2024-11-23,2024-11-14,November,2024,,Diameter 1 X 5 Mtr,1,Unit,J01,2011.0,Mulau,4,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2024-12-31,1 X 5,Nov,111.14168,0.557444
415,2024-11-28,2024-12-05,December,2024,,Diameter 1 X 6 Mtr,1,Unit,A36,2020.0,Melamor,1,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2024-12-31,1 X 6,Dec,,
416,2024-11-28,2024-12-05,December,2024,,Diameter 1 X 6 Mtr,1,Unit,A36,2020.0,Melamor,1,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2024-12-31,1 X 6,Dec,,
417,2024-11-28,2024-12-12,December,2024,,Diameter 1 X 6 Mtr,1,Unit,A26,2011.0,Melamor,1,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2024-12-31,1 X 6,Dec,,
418,2024-11-28,2024-12-12,December,2024,,Diameter 1 X 6 Mtr,1,Unit,A01,2022.0,Melamor,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2024-12-31,1 X 6,Dec,,
419,2024-11-28,2024-12-12,December,2024,,Diameter 1 X 6 Mtr,1,Unit,A13,2009.0,Melamor,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2024-12-31,1 X 6,Dec,,
420,2024-10-25,2024-12-17,December,2024,,Diameter 0.5 X 6 Mtr,1,Unit,C12,2023.0,Sedadung,1,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2024-12-31,0.5 X 6,Dec,111.220314,0.473945
421,2024-10-25,2024-12-19,December,2024,,Diameter 1 X 6 Mtr,1,Unit,E20,2022.0,Sedadung,6,Plasma,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2024-12-31,1 X 6,Dec,111.199517,0.525519
422,2024-10-25,2025-01-06,January,2025,,Diameter 0.5 X 6 Mtr,1,Unit,C04,2023.0,Sedadung,1,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-01-31,0.5 X 6,Jan,111.219901,0.470092
