id,estate,ukuran,target,periode
69,Melamor,Diameter 3 X 6 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
70,Melamor,Diameter 7 X 10 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
71,Sedadung,Diameter 0.5 X 5 Mtr,5,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
72,Sedadung,Diameter 0.5 X 6 Mtr,67,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
73,Sedadung,Diameter 0.5 X 8 Mtr,1,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
74,Sedadung,Diameter 1 X 5 Mtr,2,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
75,Sedadung,Diameter 1 X 6 Mtr,26,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
76,Sedadung,Diameter 1.5 X 5 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
77,Sedadung,Diameter 1.5 X 6 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
78,Sedadung,Diameter 2 X 6 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
79,Sedadung,Diameter 3 X 6 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
80,Sedadung,Diameter 7 X 10 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
81,Tugang,Diameter 0.5 X 5 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
82,Tugang,Diameter 0.5 X 6 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
83,Tugang,Diameter 0.5 X 8 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
84,Tugang,Diameter 1 X 5 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
85,Tugang,Diameter 1 X 6 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
86,Tugang,Diameter 1.5 X 5 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
87,Tugang,Diameter 1.5 X 6 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
88,Tugang,Diameter 2 X 6 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
89,Tugang,Diameter 3 X 6 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
90,Tugang,Diameter 7 X 10 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
91,Mulau,Diameter 0.5 X 5 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
92,Mulau,Diameter 0.5 X 6 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
93,Mulau,Diameter 0.5 X 8 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
94,Mulau,Diameter 1 X 5 Mtr,134,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
95,Mulau,Diameter 1 X 6 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
96,Mulau,Diameter 1.5 X 5 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
97,Mulau,Diameter 1.5 X 6 Mtr,9,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
98,Mulau,Diameter 2 X 6 Mtr,4,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
99,Mulau,Diameter 3 X 6 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
100,Mulau,Diameter 7 X 10 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
101,Ngaring,Diameter 0.5 X 5 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
102,Ngaring,Diameter 0.5 X 6 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
103,Ngaring,Diameter 0.5 X 8 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
104,Ngaring,Diameter 1 X 5 Mtr,54,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
105,Ngaring,Diameter 1 X 6 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
106,Ngaring,Diameter 1.5 X 5 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
107,Ngaring,Diameter 1.5 X 6 Mtr,53,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
108,Ngaring,Diameter 2 X 6 Mtr,28,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
109,Ngaring,Diameter 3 X 6 Mtr,4,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
110,Ngaring,Diameter 7 X 10 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
111,Infra,Diameter 0.5 X 5 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
112,Infra,Diameter 0.5 X 6 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
113,Infra,Diameter 0.5 X 8 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
114,Infra,Diameter 1 X 5 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
115,Infra,Diameter 1 X 6 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
116,Infra,Diameter 1.5 X 5 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
117,Infra,Diameter 1.5 X 6 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
118,Infra,Diameter 2 X 6 Mtr,15,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
119,Infra,Diameter 3 X 6 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
120,Infra,Diameter 7 X 10 Mtr,0,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1)
121,Ngaring,Diameter 7 X 10 Mtr,2,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 2)
