id,tahun,no,lab_id,blok,sample_code,jenis_tanah,estate,divisi,tahun_tanam,blok_tt,nitrogen,pospor,kalium,calsium,magnesium,boron,cuprum
1,2021,1,FL 21 - 3187,F22,LSU-001,Mineral ,Tugang,2,2010,F222010,2.607873674792846,0.1709512538434823,1.1768464767420084,0.5000487742277915,0.4116445127404793,13.962940331241237,6.891897565875766
2,2021,2,FL 21 - 3188,F28,LSU-002,Mineral ,Tugang,1,2009,F282009,2.548473052215703,0.1823741493600732,1.0242688765403805,0.7658756928507012,0.3503724353051619,13.720631649072242,4.199499401884564
3,2021,3,FL 21 - 3189,F29,LSU-003,Mineral ,Tugang,1,2009,F292009,2.7231549058027293,0.1787911462132659,1.1194253792707654,0.5023694825929416,0.3024720748962406,15.060710301586017,5.155965572507835
4,2021,4,FL 21 - 3190,F25,LSU-004,Mineral ,Tugang,1,2010,F252010,2.750667248574588,0.1760788609963962,1.0628158762185222,0.6472065256777959,0.2581899215421013,14.409232523420236,4.033278146691596
5,2021,5,FL 21 - 3191,F13,LSU-005,Mineral ,Tugang,1,2009,F132009,2.4944866877033403,0.1747709520446757,1.3709336536238372,0.4718626243273524,0.3368069898549279,13.188086695117702,5.635212350214339
6,2021,6,FL 21 - 3192,F27,LSU-006,Mineral ,Tugang,1,2009,F272009,2.496119590391664,0.1852264370862666,1.0490755812716708,0.4658851012236294,0.2779294993185682,14.31118822679964,4.191403412070608
7,2021,7,FL 21 - 3193,F02,LSU-007,Mineral ,Tugang,1,2010,F022010,2.477954085305698,0.1770326882078251,1.2442011662032884,0.4238252009865414,0.3843411815025369,16.164615872276965,5.730013659538408
8,2021,8,FL 21 - 3194,F04,LSU-008,Mineral ,Tugang,1,2009,F042009,2.5786978595230137,0.2037660906467768,1.056883806003963,0.6383083364115143,0.3133478848577515,14.749235810164498,4.859412525100053
9,2021,9,FL 21 - 3195,F05,LSU-009,Mineral ,Tugang,1,2009,F052009,3.1156676236595704,0.2041757753097008,1.0316612175119908,0.7166663621376571,0.3593737129920775,16.11914015602901,5.927129967806359
10,2021,10,FL 21 - 3196,F12,LSU-010,Mineral ,Tugang,1,2008,F122008,3.09707543970549,0.1950211229204987,1.1186993904553628,0.6908624761166703,0.2989829123141986,15.45099368442952,11.938701424276513
11,2021,11,FL 21 - 3197,F31,LSU-011,Mineral ,Tugang,2,2010,F312010,3.297960527147405,0.1967447572510602,1.2711965895938169,0.5360369919439186,0.2571966659846968,15.499193391337824,4.320955829644644
12,2021,12,FL 21 - 3198,F17,LSU-012,Mineral ,Tugang,1,2010,F172010,2.205052487873881,0.1725843208171501,0.8230535881932562,0.5174965452443473,0.2641874255001172,13.19642091101076,57.96700385196105
13,2021,13,FL 21 - 3199,F01,LSU-013,Mineral ,Tugang,1,2010,F012010,2.365269699709102,0.1727259612819433,1.0200559179004849,0.5969677610715552,0.4323407230031055,13.331154786173832,5.7359799226057655
14,2021,14,FL 21 - 3200,F14,LSU-014,Mineral ,Tugang,2,2009,F142009,2.170157613591236,0.1720773505780093,1.375949442214802,0.4893821653640543,0.3808466930774317,13.300458055482526,19.852784715749
15,2021,15,FL 21 - 3201,F18,LSU-015,Mineral ,Tugang,1,2010,F182010,2.26782259893401,0.1758095912550088,1.1847826899211156,0.6585636843193343,0.3712336153194324,13.708203613305695,93.00628955230984
16,2021,16,FL 21 - 3202,F03,LSU-016,Mineral ,Tugang,1,2010,F032010,2.2377270114075563,0.1600338225518919,1.0674949762894907,0.6248597837537705,0.4108934339879602,13.34135470849797,40.718641820174405
17,2021,17,FL 21 - 3203,F11,LSU-017,Mineral ,Tugang,2,2009,F112009,2.2436502920616683,0.1906991313770975,1.1703192718720157,0.5325287811163517,0.350990817092512,12.15174237773108,5.483374127441925
18,2021,18,FL 21 - 3204,F24,LSU-018,Mineral ,Tugang,2,2011,F242011,2.427865868152799,0.1633848943485931,0.8216523429602551,0.5546780354530899,0.3365029636645075,12.92109778098498,12.244217719093667
19,2021,19,FL 21 - 3205,F23,LSU-019,Mineral ,Tugang,2,2010,F232010,1.9416583005137575,0.1454393872296788,1.1594385524059216,0.668642819798355,0.4139764537239529,12.269940404547134,6.207732021151968
20,2021,20,FL 21 - 3206,F07,LSU-020,Mineral ,Tugang,1,2009,F072009,2.945319322019936,0.1843221517439611,1.07099548101145,0.634738644692683,0.3707426993363306,16.389150161791544,6.678849472732632
21,2021,21,FL 21 - 3207,F15,LSU-021,Mineral ,Tugang,1,2009,F152009,2.6287180877897285,0.1829834619061745,1.16043538179606,0.5581126025219649,0.3523777515214813,16.254568407255622,22.49051493165709
22,2021,22,FL 21 - 3208,F35,LSU-022,Mineral ,Tugang,2,2010,F352010,2.1295602849241395,0.1624647081633528,1.1525952074573529,0.610188735238424,0.4053788079594021,12.600475678918354,13.14071976871456
23,2021,23,FL 21 - 3209,F37,LSU-023,Mineral ,Tugang,2,2009,F372009,2.659797426460098,0.1758846715419948,1.149841840091144,0.5269072580560934,0.2692631862588435,15.292843461023482,6.2952101049219085
24,2021,24,FL 21 - 3210,F06,LSU-024,Mineral ,Tugang,1,2008,F062008,2.125847136669875,0.1543509663279538,1.1067725730110436,0.628860330743176,0.4741746986451485,13.016941870890616,7.80497650594408
25,2021,25,FL 21 - 3211,F10,LSU-025,Mineral ,Tugang,1,2009,F102009,2.2396752922059604,0.1651232156632163,1.0964920460991212,0.5928559193565552,0.4335209262914336,14.551316234140014,13.013901304487076
