id,company,estate_lama,status_lahan,divisi_lama,blok,tahun_tanam,id.1,class,luas,comments,bulan,periode,pokok,asal_bibit,estate,divisi,tm_tbm,divisi_a_b,x,y
4721,PT. Grand Utama Mandiri,Timur,Inti,Division I,A01,2008,1,Palms,2.82,,,,0,Lonsum,Melamor,2,TM,,111241464649682,0.476903396676201
4722,PT. Grand Utama Mandiri,Timur,Inti,Division I,A01,2008,1,Palms,1.4,,,,0,Lonsum,Melamor,2,TM,,111250657723992,0.47730299144435
4723,PT. Grand Utama Mandiri,Timur,Inti,Division I,A01,2008,4,Vacant Area,0.05,,,,0,Lonsum,Melamor,2,TM,,111251245641446,0.476663708515953
4724,PT. Grand Utama Mandiri,Timur,Inti,Division II,B05,2008,1,Palms,0.44,,,,0,Damimas,Melamor,4,TM,,111231717252818,0.464827111367098
4725,PT. Grand Utama Mandiri,Timur,Inti,Division II,B05,2008,1,Palms,0.02,,,,0,Damimas,Melamor,4,TM,,111232252122603,0.465378855301537
4726,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B10,2011,1,Palms,0.18,,,,0,Scofindo,Melamor,4,TM,,111232350068482,0.44916601778164
4727,PT. Grand Utama Mandiri,Timur,Inti,Division II,B16,2008,1,Palms,0.08,,,,0,Lonsum,Melamor,4,TM,,111247154281025,0.463908754552554
4728,PT. Grand Utama Mandiri,Timur,Inti,Division II,B06,2008,1,Palms,0.03,,,,0,Lonsum,Melamor,4,TM,,111235778154177,0.459664993550743
4729,PT. Grand Utama Mandiri,Timur,Inti,Division II,B13,2009,1,Palms,0.02,,,,0,Scofindo,Melamor,4,TM,,111237172943642,0.451458983696989
4730,PT. Grand Utama Mandiri,Timur,Inti,Division II,B13,2009,1,Palms,0.04,,,,0,Scofindo,Melamor,4,TM,,11123740851771,0.450967382729305
4731,PT. Grand Utama Mandiri,Timur,Inti,Division II,B07,2009,1,Palms,0.03,,,,0,Lonsum,Melamor,4,TM,,111244931358633,0.470028385299495
4732,PT. Grand Utama Mandiri,Timur,Inti,Division II,B17,2009,1,Palms,0.16,,,,0,Damimas,Melamor,4,TM,,111254461345577,0.466238444893242
4733,PT. Grand Utama Mandiri,Timur,Plasma,Division II,B24,2009,1,Palms,0.02,,,,0,Lonsum,Melamor,3,TM,,111264501217652,0.463772906485811
4734,PT. Grand Utama Mandiri,Timur,Inti,Division II,B06,2008,1,Palms,0.33,,,,0,Lonsum,Melamor,4,TM,,111238737239095,0.45961230862305
4735,PT. Grand Utama Mandiri,Timur,Inti,Division II,B08,2008,1,Palms,0.78,,,,0,Damimas,Melamor,4,TM,,111248812525593,0.474792325314889
4736,PT. Grand Utama Mandiri,Timur,Inti,Division II,B08,2008,1,Palms,0.21,,,,0,Damimas,Melamor,4,TM,,111248422546788,0.47365993201697
